route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
828034,20161611multiint-0000001,47333669-20161611multiint-0000001,"Terminus Beauport (Est)",,0,,80340161,1
828034,20161611multiint-0000001,47333641-20161611multiint-0000001,"Terminus Beauport (Est)",,0,,80340161,1
828034,20161611multiint-0000001,47333648-20161611multiint-0000001,"Terminus Les Saules (Ouest)",,1,,80340184,1
828034,20161611multiint-0000001,47333653-20161611multiint-0000001,"Terminus Beauport (Est)",,0,,80340161,1
828034,20161611multiint-0000001,47333660-20161611multiint-0000001,"Terminus Les Saules (Ouest)",,1,,80340184,1
828034,20161611multiint-0000001,47333665-20161611multiint-0000001,"Terminus Beauport (Est)",,0,,80340161,1
828034,20161611multiint-0000001,47333672-20161611multiint-0000001,"Terminus Les Saules (Ouest)",,1,,80340184,1
828034,20161611multiint-0000001,47333677-20161611multiint-0000001,"Terminus Beauport (Est)",,0,,80340161,1
828034,20161611multiint-0000001,47333684-20161611multiint-0000001,"Terminus Les Saules (Ouest)",,1,,80340184,1
828034,20161611multiint-0000001,47333690-20161611multiint-0000001,"Terminus Beauport (Est)",,0,,80340161,1
828034,20161611multiint-0000001,47333642-20161611multiint-0000001,"Terminus Les Saules (Ouest)",,1,,80340184,1
828034,20161611multiint-0000001,47333647-20161611multiint-0000001,"Terminus Beauport (Est)",,0,,80340161,1
828034,20161611multiint-0000001,47333654-20161611multiint-0000001,"Terminus Les Saules (Ouest)",,1,,80340184,1
828034,20161611multiint-0000001,47333659-20161611multiint-0000001,"Terminus Beauport (Est)",,0,,80340161,1
828034,20161611multiint-0000001,47333666-20161611multiint-0000001,"Terminus Les Saules (Ouest)",,1,,80340184,1
828034,20161611multiint-0000001,47333671-20161611multiint-0000001,"Terminus Beauport (Est)",,0,,80340161,1
828034,20161611multiint-0000001,47333678-20161611multiint-0000001,"Terminus Les Saules (Ouest)",,1,,80340184,1
828034,20161611multiint-0000001,47333683-20161611multiint-0000001,"Terminus Beauport (Est)",,0,,80340161,1
828034,20161611multiint-0000001,47333691-20161611multiint-0000001,"Terminus Les Saules (Ouest)",,1,,80340184,1
828034,20161611multiint-0000001,47333676-20161611multiint-0000001,"Terminus Les Saules (Ouest)",,1,,80340184,1
828034,20161611multiint-0000001,47333681-20161611multiint-0000001,"Terminus Beauport (Est)",,0,,80340161,1
828034,20161611multiint-0000001,47333689-20161611multiint-0000001,"Terminus Les Saules (Ouest)",,1,,80340184,1
828034,20161611multiint-0000001,47333696-20161611multiint-0000001,"Terminus Beauport (Est)",,0,,80340161,1
828034,20161611multiint-0000001,47333703-20161611multiint-0000001,"Terminus Les Saules (Ouest)",,1,,80340184,1
828034,20161611multiint-0000001,47333710-20161611multiint-0000001,"Terminus Beauport (Est)",,0,,80340161,1
828034,20161611multiint-0000001,47333717-20161611multiint-0000001,"Terminus Les Saules (Ouest)",,1,,80340184,1
828034,20161611multiint-0000001,47333724-20161611multiint-0000001,"Terminus Beauport (Est)",,0,,80340161,1
828034,20161611multiint-0000001,47333680-20161611multiint-0000001,"Terminus Les Saules (Ouest)",,1,,80340184,1
828034,20161611multiint-0000001,47333686-20161611multiint-0000001,"Terminus Beauport (Est)",,0,,80340161,1
828034,20161611multiint-0000001,47333693-20161611multiint-0000001,"Terminus Les Saules (Ouest)",,1,,80340184,1
828034,20161611multiint-0000001,47333700-20161611multiint-0000001,"Terminus Beauport (Est)",,0,,80340161,1
828034,20161611multiint-0000001,47333707-20161611multiint-0000001,"Terminus Les Saules (Ouest)",,1,,80340184,1
828034,20161611multiint-0000001,47333714-20161611multiint-0000001,"Terminus Beauport (Est)",,0,,80340161,1
828034,20161611multiint-0000001,47333721-20161611multiint-0000001,"Terminus Les Saules (Ouest)",,1,,80340184,1
828034,20161611multiint-0000001,47333728-20161611multiint-0000001,"Terminus Beauport (Est)",,0,,80340161,1
828034,20161611multiint-0000001,47333685-20161611multiint-0000001,"Terminus Les Saules (Ouest)",,1,,80340184,1
828034,20161611multiint-0000001,47333692-20161611multiint-0000001,"Terminus Beauport (Est)",,0,,80340161,1
828034,20161611multiint-0000001,47333687-20161611multiint-0000001,"Terminus Les Saules (Ouest)",,1,,80340184,1
828034,20161611multiint-0000001,47333694-20161611multiint-0000001,"Terminus Beauport (Est)",,0,,80340161,1
828034,20161611multiint-0000001,47333701-20161611multiint-0000001,"Terminus Les Saules (Ouest)",,1,,80340184,1
